Comments,Immigrant_author,Supports,postedDate
"Yes, they should also able to work rather than stay at home especially now that economy is hard and for one income family is hard and tough. Plus they have also profession that they could used. There are a lot competition out there and it will attaract more professional worker to stay rather than going in the other country. Yes that would great idea that would be able to work",0,1,2014-05-13T00:00:00-04:00
It's a great rule... Helps many frustrated h4 candidates to ressume their career and keep themselves occupied...,0,1,2014-05-15T00:00:00-04:00
"Hi, Thanks for taking this into consideration. You can not evn imagine how much positive impact this will have on H4 women who have almost lost hopes from their lives. We are H4 are totally dependent upon our husbands for daily needs. Not having right to work and earn is very disturbing.",1,1,2014-05-22T00:00:00-04:00
I can't stress enough how important and valuable this is for all the H-4 spouses! It is such a life-saver. Thanks a million to USCIS for the proposal and I really hope it passes all the hurdles and becomes effective ASAP. My biggest YES ever!,0,1,2014-05-18T00:00:00-04:00
This is a terrible idea. This is just a ploy to replace Americans with cheap foreign labor. This is another attempt by Obama and his corporate masters to circumvent the legislative process.,0,0,2014-05-14T00:00:00-04:00
"THis is a very good option to bring in ASAP. I am working in USA on H1B. When I got married, my wife who is an engineering gold medalist was working in India for one of the good Oil MNC. As she wanted to accompany me to USA she did a big sacrafice on resigning her good position and job  to accompany me here on H4. As we were not successful to get the H1B Lottery she did her Masters (MS) in NYU university and completed with 3.85 GPA. We are a happy family with 2 kids now. As only reason she is not having a valid work permit she could not contribute any of her skills she studied to make her kid's life better than what it is now with a single salary. THis option will give her a opportunity to utilize her skills she studied for betterment of her, her family and also for this country too.",1,1,2014-06-27T00:00:00-04:00
"   If implemented it should apply to specified labor categories for which there is a well documented labor shortage.   Since there likely is no such labor shortage however the need for this appears to be to meet political goals and not labor needs.  If that really is the motivation for the change, it should be considered an immigration policy change that is reserved for congressional action and is not eligible for implementation as an administrative action by any branch of the government other than Congress.  Basically this policy change is highly illegal.  

even if this was a part of some more sweeping immigration reform, the policy change seems highly unfair to the huge and growing unemployed population of US citizens that persists since the recession of 2008.  Such a measure seems to fly in the face of all common sense and obligation to the citizens of this country who this government is supposed to serve.  ",0,0,2014-05-14T00:00:00-04:00
It is a very good move by USCIS. I did my Master’s in business administration and then certification program in HR from USA. I used to work in the past but now I am on H-4 visa so cannot do anything. Thank you for considering this policy change. ,1,1,2014-06-11T00:00:00-04:00
I am a Periodontist trained at UNC-Chapel Hill with an H1b visa working as a faculty at East Carolina University. I train future dentists who will enter the workforce and serve the people of this country. My wife is also an international dentist who is on H4 visa. She has always been inclined to teach younger dentists the subject of Periodontics (She has a Master's degree in it from India) but she cannot work until I get a Green card which for people from India takes anywhere between 4-6 years. This rule making will help her get a job as a faculty and teach future dentists while being employed and have a standing in society. I hope there is also a rule fast-tracking Green cards for families like us. Thank You,1,1,2014-05-18T00:00:00-04:00
"In these times of globalization allowing the spouses to work is becoming a trend internationally. Then why not in America! Which has always supported the cross cultural exchange of talent across borders! This concern will always come in between when you compare the work situation and conditions with other countries vis a vis US. People in countries where spose work authorization is granted report positive impact on the employee’s willingness to work as well as on the health and mental well being of the family along with the overall adjustment in the host country.

However the case is just the opposite in America.

I would personally never accompany my spouse to a country that does not grant me the authorization to work.

We all know that USA is one of the most sought after and competitive place to be for any professional. But at the cost of the spouse not being able to work makes it unlikely to relocate to a country where it is difficult for the spouse to get a work permit.

Please consider this reform!

America it’s time to join the league of the likes that support spouse work authorization!

This change entails nothing but good!

 ",0,1,2014-07-02T00:00:00-04:00
"United States is a land of Immigrants. Since beggining US has welcome people from all over the world. Diversity makes this place unique and ever-growing  country. On top of that the people comes legally to US on employment or student based are high skilled and they have expertise in different fields. These high skilled people are in very small proportion compare to other immigrant population and still has greatest contribution in US economy. Almost all private or government organizations there are high skilled immigrants who are contributing their success and knowledge towards this country's development and growth. Albert Einstein and Andrew Carnegie are one of the greatest example of the immigrants who poineered solid foundation of this country. And we, me and my wife are one of those immigrants who came to United States for better future and opportunity and in the hope that we too can make a difference in this world and we too can make the world better place to live. The only thing we ask is to give us an opportunity to prove this and this proposed rule can give us an opportunity to live here and work towards betterment and to make this country and our future bright. ",1,1,2014-07-01T00:00:00-04:00
"I believe this is an important rule that must be enacted to further the objectives of the US immigration policy for the 21st century. Seeing the other comments, one can surmise that those impacted by this bill are eager to have it enacted. However, from the perspective of United States immigration policy, the changes that will be brought upon by this bill, are just as inviting. 

Starting from around the year 2000, the ""attraction"" that the United States has presented to skilled immigrants has been reducing, not just because of the internal issues in US, but also because of the increasing attractiveness of other regions in the world. We, here in US, don't talk about it because most of us aren't as aware of it, but places like Dubai, Singapore, Australia, France, Germany, Finland, Sweden, Canada, among others, have increasingly become extremely attractive for potential immigrants who have the options, knowledge, reasons, and resources for emigrating to a different part of the world. 

One of the biggest attractions for married immigrants, is the availability of employment options for the ""secondary"" or ""dependent"" immigrant (in this case, the spouse). It is ""MIND BOGGLING"", that in today's world, the US immigration policy does not allow these dependents to work. There are very few other developed economies in the world, where such is the case. I cannot point to any study or research or numbers, but I am convinced, that if these dependents are allowed to be employed (and open their own businesses), then United States' attractiveness to these skilled - ambitious, experienced, disciplined, goal oriented - immigrants will GREATLY INCREASE. 

By NOT enacting this rule, United States will continue down the sad path laid down by its archaic immigration rules, further worsened by its legislators' political agendas, and will soon become - however far fetched it may sound on this day - one of the less attractive places in the world to immigrate to. 

This IS the shining city on the hill. This rule is just another little bulb that will keep the city shining. ",0,1,2014-05-13T00:00:00-04:00
"Great rule!!!!! This rule will help immigrants ,Many families struggle to send their kids and spouses to college and struggling to make payments",0,1,2014-06-16T00:00:00-04:00
"I support this law. Me and my wife were planning to go back to India and start something of our own. 
Now if this law comes to effect we can think of purchasing home and own something of our own. Which will help US economy. 
I truly appreciate it. ",1,1,2014-05-14T00:00:00-04:00
I strongly support this rule by US government. My humble thought is this will not affect the job aspects of American citizens. There are already immigrants in other work visa's like L1B whose spouses are usually work authorized. But how many of them really utilize that? Its really a choice they make. That applies to H1 spouses as well. And the fraction we are talking here is very less. And they have to go through the competitive interviewing process to get selected in any job they desired to get placed. Lets strongly support that meager population which is still determined and living in dire hope of living their dreams. ,0,1,2014-07-07T00:00:00-04:00
This rule will benefit both H4-Dependent and USA. Many H4 Dependents are very qualified and have no way to keep themselves busy. This is benefit H4 dependent a lot.,0,1,2014-05-15T00:00:00-04:00
This is very good step.This rule will be really helpful to all the skilled workers on h4 to grow on their field and it will benefit the nation as well.,0,1,2014-06-17T00:00:00-04:00
"I thank the US government and appreciate the courage from the Obama administration to take action in solving this problem. I see the Obama administration as a Messiah sent to bring salvation to the helpless. I suggest that the autorization to work should be given to spouses if the H1 holder has already being on the job for at least 2 years and should not be tied to when the company has filed for green card or not. There is a alot of politics associated with getting green card from most companies and they sometimes delay filing if one is unlucky.

My wife is on H4, she studied Geology but cannot work. Although I have a good job on H1B, we recently have contemplated leaving to Canada so she can have the opportunity to contribute to humanity. Several of our american family friends visited us and tasted the food she cooked and they suggested we should seriously consider opening a huge restaurant in the city. of course we are interested in such but our common reply is that ""she's a stay at home mum"". At this point she can't use her degree and cant use initiatives to start any business venture. Most of us are in our 20's and 30's and these are very critical growth years of youth which need to be invested. Utopia has suddenly become discouraging at close range. I therefore think it would be a great blessing to the US if our spouses can be given the chance to live life fully. Thank you Barack Obama as you take steps to set us free and may God help you too and God bless America !",1,1,2014-07-10T00:00:00-04:00
"This is good step made by the government in right direction. For the benefit of people/future US citizens, to contribute their share to country and regain their career, live their dreams, be able to stand on their own feet. Which was all lost in dark due to visa restrictions.
I would say,Please Pass the Bill. As, I am one of highly skilled individuals, who is bound to sit back home due to visa restrictions.
",1,1,2014-07-02T00:00:00-04:00
"Very encouraging to see DHS and White House taking an action on this front. This will not only make spouses employed and independent but also will alleviate the financial and mental frustration faced by many spouses who are highly experienced and willing to contribute to the economy. Thanks to all who have been involved in the decision making process and finally plan to close out on this. 

",0,1,2014-05-22T00:00:00-04:00
There is no reason why H4 dependents should not have authorization. They are living here legally and the H1 counter parts are paying taxes and H4's will pay taxes too once they are earning. Why not welcome new talent? Why restrain people if they have the talent? ,0,1,2014-07-12T00:00:00-04:00
"Please pass this rule. Allowing the eligible class of H-4 dependent spouses to work encourages professionals with high demand skills to remain in the country and help spur the innovation and growth of U.S. companies, and thus allow the United States to remain a world leader in high technology.",0,1,2014-07-02T00:00:00-04:00
"This ruling is a further destruction of the United States by bringing in a new class of unneeded alien the H1-4 dependent.  This class of person will do nothing to build our economy; it is known that most monies are sent back to their home countries on which they will then return. 

We do not need additional alien labor; we have natural born Americans capable of doing this work. It is the evil cycle of politics and lobbying that brings in new slave labor to this country for higher profits to employers and continued votes for politicians that no longer serve the people but rather the lobbies.",0,0,2014-05-13T00:00:00-04:00
"Give a round of applause on this decision by the government!
Would like to see this being implemented soon. This will solve the predicament of many h4 wife's/Husbands who are extremely qualified but have to idle, when they can contribute to the industry economically and technically. 
“My 2 cents”
 Provided this law should be applicable to the only to the applicants who’s primary/dependents are graduated from US universities, which gives an advantage to the graduates who did their education from US, as they have significantly contributed to the economy of USA, or for the primary applicents who's I140 has been approved and been waiting more than 3 years, else it could be misused by employee and employers.
",0,1,2014-05-15T00:00:00-04:00
"Hi, i'm on h4 from past 4 years, having a electronics degree, having worked back home for more than 4years, now this bill would help me work again. want the bill to pass.",1,1,2014-06-04T00:00:00-04:00
Being qualified and sitting at home is a waste of my talent as well as a huge loss to the economy.Lets all strive to pass this bill to make a difference. ,1,1,2014-06-11T00:00:00-04:00
I am in agreement for the Employment Authorization for Certain H-4 Dependent Spouses proposal. This ruling should be implemented as soon as possible because it would benefit the economy and the lives of their families. I think it is a good idea if dependents of H-1B who have been in the country many years gets an Employment Authorization Dependent (EAD),0,1,2014-05-22T00:00:00-04:00
"I have bachelor's degree in Computer Science and worked as a Software Engineer in my homeland. I have been in United States for three years now. It's been really hard to find a job as I do not have a work permit. 

If the proposed rule is approved:
Would improve United States Economy.
Lot of skilled people (H-4 Spouses) will be able to work. 
It would be a lot of help to H-4 Dependent spouses and their families. 



",1,1,2014-05-20T00:00:00-04:00
"This is a very important regulation which is needed to utilize  to skills of talented people on H4, for the betterment of the US economy. 

My wife, a talented programmer working for a reputed company back in India is not able to work due to H4 restrictions.
",1,1,2014-07-11T00:00:00-04:00
"Thanks a ton to USCIS for taking up this initiative. I have been working in a multi-billion dollar US company from past 8 yrs on H1B visa. Ever I since I got married to my loving wife, couple of years ago there was no single day which passed without me re-thinking about our decision to stay in US by sacrificing my wife's career. My wife has a Masters Degree with excellent educational background but after coming to US she has to sit at home all day doing nothing.

I always believed and hoped that in US merit and hard work gets appreciated more than anywhere else in the world. It is that hope which kept me in US during these two years. I am hoping and praying that this law will go through in next few months and my wife doesn't have to sacrifice her career for living an american dream.

Thanks again for understanding our emotions and not being treated as a slavers who has to sacrifice something or the other to live american dream.",1,1,2014-05-20T00:00:00-04:00
"I thank USCIS for proposing this rule. We will be one among the many families will benifit from this proposal. My wife, who completed her master in Cumputer Science from University Of Tulsa and also worked for 6 years, is now not able to work because she is on H4. 

",1,1,2014-07-10T00:00:00-04:00
I welcome the proposed rule and request it to be implemented for the positive well being of all H4 community. Dependents mostly housewives with advanced qualifications are unable to work for years ( sometimes decades) leading to mental and financial stress on individuals as well as families. ,0,1,2014-05-20T00:00:00-04:00
"This should have to be approved by the House and the Senate. I do not want to see our government get into the habit of going around our system of checks an balances, especially for the benefit of people who are not even citizens of this country.  ",0,0,2014-05-16T00:00:00-04:00
"This helps the country and its people, immigrants and locals included. 1. Get more qualified and skilled spouses into workforce. Thus increasing the competitive levels in the organization. Get capable people to induce more efficiency into the job.
2. Immigrants can boost the economy by using their buying power putting money into capital, equity markets. They would be buying houses and investing in other equity.
3. Boosting other peripheral business or institutions like restaurants, educational institutes etc.

So i fully support this initiative that will bring a sense of achievement to all those spouses of H1Bs with lots of skills to grow along with this great country. God Bless America. ",0,1,2014-06-01T00:00:00-04:00
"Employment of H-1B nonimmigrants 
Is without fed FIR (Financial Impact Report as otherwise the following would be known facts not hidden defects)
1.) displaced an equal number of American citizens from employment (at least as trained and other qualifications),  
2.) is a violation of employment human rights of American citizens violating U.N. Universal Declaration of Human Rights Article 23, 
3.) fed did not pay for the losses caused by the fed: 
   welfare costs that are paid by American citizens, 
   losses to income that the American should have had 
      (had the fed not violated Americans human rights), 
4. Fed did not pay ($ direct) just compensation to American citizens (not some phony excuse) including all welfare costs ..., 
Please answer (each point), thanks. 
As this process is a huge net loss per employed alien, I request it be terminated, while paying all costs caused by alien employment in the mean time (welfare, income losses, ObamaCare, other). 
The fed is obviously a defective product in this process and shall not add any alien employment to it before the H-1B process terminated for cause.  Also the fed a for profit employment agency business as the fed did unjustly compensate itself by the amount the fed did not pay in said welfare and lost incomes.  
Someday has arrived and it is time for the fed to pay at least all welfare costs (and with interest) fed inflicted by violating the human rights of Americans displaced from employment. 
Please answer (each point), thanks. ",0,0,2014-05-14T00:00:00-04:00
"This is definitely a long awaited step in the right direction.  It increases the talent pool for every available position & in the result increases the American competitiveness.  My wife has a Master's from the US in addition to working in India for close to 6+ years, and it is frustrating for the individual to sit at home & not be able to work due to visa limitations.  Looking forward to a speedy implementation of this rule.",1,1,2014-07-08T00:00:00-04:00
Great way to retain talent. Ones other half should not punished merely because of persons visa status. ,0,1,2014-05-16T00:00:00-04:00
Please pass this rule and implement it soon. I am an IT professional working for 8 years now and recently married in March 2014 having H4 visa. This rule will help me to work in US and stay with my husband. Please help and pass this rule soon.,1,1,2014-07-03T00:00:00-04:00
Thanks to the Government to consider the concerns of H4 dependents.This will motivate and give energy to serve beter in USA for various clints. Also good opportunity to use our skills rather than sitting at home idle.,1,1,2014-05-14T00:00:00-04:00
"Bravo! This proposed rule is long overdue. It will definitely help prevent losing any more skilled work force in the US. I know a lot of skilled people leaving the US to the competitor countries like the UK, NEW ZEALAND, AUSTRALIA, CANADA where the rules permit the spouses/dependents to work and support themselves. 
It will surely help contribute to the US economy in terms of Tax and grow the US economy which in turn will create more jobs. It Will definitely improve working standards and innovations for the US companies.
Its a win-win situation for all. Better late than never.",0,1,2014-05-13T00:00:00-04:00
"This is a great and pertinent step to restore the talented and skilled professionals who are working in US on visas. Moreover, this will boost up the economy in terms of expenditure and collection of taxes from otherwise skilled professionals who are sitting at home for not having EAD to work. Also, this will help them to explore the opportunities and thus evolve their careers . I hope this becomes the law soon. ",0,1,2014-05-16T00:00:00-04:00
"Precious time and talents are getting wasted because of this restriction. In order to continue with my career aspirations , really hope USCIS approves H-4 work permit .",0,1,2014-07-08T00:00:00-04:00
"I strongly support this initiative .. This will certainly benefit our economy by opening up more job opportunities .. There are so many qualified and talented individuals who can benefit from this initiative. If this bill is passed  we can leverage the skills and talents of the individuals who are currently not able to pursue a job opportunity in the US. Our government can also benefit from the talents harvested by these candidates and help improve the economy and tap the potential of the skilled individuals which is now unexposed to the work force ..  There are multiple individuals with masters degree and prior work experience which can very easily be brought to realization if this bill is passed.  There are so many jobs in our country which require experienced and  fully qualified workers which are not readily available in plenty, which mandates training period to educate an individual and prep them to fit for the job opportunity. On the other hand we do have the individuals with the required skills and experience as h4 candidates who can readily be deployed to the US job market if this bill is passed. ",0,1,2014-05-28T00:00:00-04:00
"This is a terrible proposed rule, that will take away jobs from Americans... especially when there are thousands of unemployed scientists and engineers already, and recent college graduates (with science majors) with enormous debt.  What about them? This will continue to depress wages in this sector as well. ",0,0,2014-05-22T00:00:00-04:00
Great decision and should be immediately implemented. Thanks!,0,1,2014-05-15T00:00:00-04:00
"I strongly support this rule. This will help America retaining skilled talents, most of this people are leaving because their spouse could not even given a chance to work. Countries like Russia, Canada, China and other european countries offer good benefits for these skilled workers. This is a big blow for U.S. in the field of innovation. 

Although, this will apply for those H-1B waiting for 6 years, still this could help those H-1B who are here legally and paying taxes.

Please pass this rule quickly. Thank you.",0,1,2014-07-10T00:00:00-04:00
"It's is good news that we finally have a proposed rule towards H-4 work authorization. This was long overdue. It doesn't make any sense to apply for Employment based LPR's and wait years (& even decades!) for the visa numbers to get current. Mean while, dependents on H-4 can't work until LPR. People opposing in the name of unemployment should open up DICE and look for the number of positions and why can't these be fulfilled in a timely manner. Adding few 100k new workers to the booming economy isn't really a bad thing. 
I wholeheartedly recommend this proposed rule and looking forward to this being published in the Federal Register.",0,1,2014-06-18T00:00:00-04:00
"This will be great opportunity for H4 visa holders to use their credentials towards right way. At this time they have to stay home all the time by sacrificing their good credentials and doing nothing. I believe the deserve people should definitely get this opportunity to prove their self in their field and they can be a part of help to their family.

-Thanks   ",0,1,2014-05-20T00:00:00-04:00
"Compete America hereby submits comments to the notice of proposed rulemaking entitled, “Employment Authorization for Certain H-4 Dependent Spouses,” that was published on May 12, 2014 in the Federal Register by U.S. Citizenship and Immigration Services (USCIS).  This proposed rule would fulfill an intention announced by the Department of Homeland Security in January 2012 by permitting work authorization for the spouses of certain H-1B nonimmigrants who are in the process of achieving permanent residence in the United States.  The rule would apply to the spouses of H-1B workers who either are the beneficiaries of an approved immigrant visa petition or have been granted an extension of H-1B status beyond the normal limit under special legislation designed to ameliorate the negative effects of lengthy green card backlogs (sections 106(a) and (b) of the American Competitiveness in the Twenty-First Century Act of 2000 (AC 21)).

The Compete America coalition is the leading advocate for reform of U.S. immigration policy for highly educated foreign professionals. Our members include corporations, universities, research institutions and trade associations.  Compete America has worked with both the Administration and Congress on issues critical to immigration compliance, as well as the global mobility of talent.  More information about the coalition can be found at www.competeamerica.org. 

Attached are our comments to the proposed regulation.",0,1,2014-07-14T00:00:00-04:00
"The total U.S. Government's annual income in year 1 is estimated at $43,828,402 from  H-4 spouses applying for initial employment authorization. Good for economy I guess. ",0,1,2014-06-01T00:00:00-04:00
I support this proposed rule. We are losing a valuable member of our analytic team because she lost the lottery for a work visa while her husband continues to be eligible to work. We would like to hire her back. I hope this rule becomes effective soon.,0,1,2014-06-10T00:00:00-04:00
"I welcome this positive rule from DHS. I am on H4 Visa for last 3 years which does not allow me to work, even though I hold 3 graduate degrees. This rule would help me gain employment and further my career.

I know a lot of people who are in similar situation, and I am positive that if given an opportunity they will contribute towards stronger economy.

It is a miss-assumption that all H4’s will take away jobs from US Citizens. It is a biased opinion from people who want to block this amendment from being passed. In reality, not all H4’s are qualified for this rule and there is also a strong possibility that they might not even seek job. With the new rule in place, it will have a very marginal impact to the total USA workforce. The rule adds only 0.065% (less than 1%) to the existing work force giving positive impact to the overall economy.

Once again, I strongly support this rule and thank DHS for considering this rule. Please pass this amendment ASAP
",1,1,2014-07-12T00:00:00-04:00
"Thank you so much for bringing this regulatory change. I think it's long over due. I greatly appreciate the thought and fellow H1B holders for bringing this to this administration notice. There are lot of qualified H4 individuals who are in this country waiting for some miracle to happen, and here it is. Most of us want to add/help to this great nation in whatever way we can. Thank you so much again.",1,1,2014-05-13T00:00:00-04:00
"Thanks to USCIS and govt. for proposing the rule ""Employment Authorization for Certain H–4 Dependent Spouses"". I hope this will be passed soon.

I am in US for the last 5 years waiting patiently for our green card, which may again take more than 10 years. I was a software engineer with 5 years of work experience and left my job to join my family after marriage. All my attempts to find a sponsor failed in the initial years I came here and even studies was not an option for me. Slowly I became demotivated and depression started to invade. We started thinking about returning to India, so that I don't want to forget about my career forever and my hard earned degrees will go useless.

If this rule is passed, I am sure it will be a relief for many like me. But at the same time it will benefit America too. We always dream of an own house, a second car, more options for our kids..(they can learn a lot of things outside their school like sports, martial arts, fine arts...). Finally all these will result in we investing more money here in US, more benefits to the local business, more taxes and options are countless...

Please take necessary steps to implement this rule as early as possible.",1,1,2014-05-28T00:00:00-04:00
I do not want more foreign workers. We have an abundance as it sets. That is the reason for the low hourly rate and the high unemployment. We must protect our borders stop the influx of undocumented workers and dry up the magnet of jobs and housing. I want our jobs left for the American people. I want to reduce the number of unemployed to 6%. We the American People have fought against bringing in more guest workers or any other increase in immigration every time it has been pushed forward whether it was you or another president in the last 20 years. We do not want more low income workers to drive down the cost of business and provide them the opportunity to pay less per hour. We have many unemployed and our financial system is not strong enough for taking on more people. Adding to the number of people at the bottom of the financial spectrum will not improve things for anyone and it is not in the interest nor the desire of the American people.,0,0,2014-05-13T00:00:00-04:00
"I am an immigrant and i work in a small town. My wife always worked before marriage. Once she is married and was in US getting her H1 was one big achievement and always finding a contract was another (since we were not ready to live in two different cities). Now after 4 year of ups and downs my wife decided not to work. The instability was too much for her to handle.
If we knew we could both work without any immigration hassle we would have bought a house and might have settled knowing some part of the future is safe. Even after 8 plus years in US i am not sure one day I would require to go back to my home country for some immigration rule. Moving back would be a nightmare its been so long i have to start new life over there if i have to move.

I hope the immigration would become more sensible than political....good luck to all immigrants.
",1,1,2014-05-13T00:00:00-04:00
"This regulation is much needed. Without this change we are wasting highly skilled labor( where unemployment rate is low) available forcing lot of firms to offshore. If the job can be done in USA, it would have secondary impact as they consume goods and services in USA. If it is off shored no primary and also loose on secondary impact it creates. Without this regulation we might be forcing highly skilled people to go back which in turn reduces competency of us companies worldwide.",0,1,2014-07-01T00:00:00-04:00
This is really good initiation. Allowing H-4 dependent skilled and talented people to give work authorization will help in the development of the country. I would strongly recommend to approve this rule.,0,1,2014-07-14T00:00:00-04:00
"With 20 million out of work or who need more hours of our own; this is a bad idea.  We further allow in 2 million new workers every year including during this deep recession when we are not even creating 2 million jobs.  This makes no sense!!!

This govt is supposed to care about its own workers and we don't need to be importing more people including bringing in more h 1 b; their wives; their kids; etc.  

Charity begins at home!!!

No Amnesty. No work permits.  No nothing but deportation and please reduce legal immigration to 100000 or less per year including refugees.",0,0,2014-05-15T00:00:00-04:00
I agree,0,1,2014-05-15T00:00:00-04:00
Thank you John Gestler for the wonderful explanation. Completely agree with his comments.,0,1,2014-06-02T00:00:00-04:00
"please make this happen, this means a lot to the people whos resources would benefit our economy. ",0,1,2014-07-14T00:00:00-04:00
I support this!  It will help many people who are simply wasting time sitting around when they could be active and positive members of our workforce!!,0,1,2014-06-02T00:00:00-04:00
If passed it will provide an opportunity to an educated and legal immigrants to work on this country.It will certainly improve the economy with more tax payers. This system is already in place in the UK for many years i.e. the the HSMP program which allied s spouses to work if the worker was highly skilled. Hope this is gets implemented soon.,0,1,2014-05-28T00:00:00-04:00
"This is such a life saving opportunity for H4 people like me.I am a H-4 Dependent with Bachelors degree in Engineering and few years of work experience.
I came to USA in 2007 and Filed for H1B 2 times but no luck.Now feeling like i am not existed in USA with out SSN and workpermit.
This is very sad for H4 people who are very talented and as equally efficeint as Other people who are working now.
So Pls..,Pls.., Implement this rule and give us some hope.",1,1,2014-07-12T00:00:00-04:00
This reform should happen asap. Wasted skill and labor otherwise.,0,1,2014-05-13T00:00:00-04:00
"I heartily welcome this rule change. Allowing certain H-4 Dependent Spouses to work is a welcome move by the Government. This rule has been long pending and I hope the Government moves faster to implement these rule changes by the end of this year (2014) or even before.

I've seen people on H4 Visa who are highly qualified but are unable to work because of the visa restrictions. Because of the restrictions I've seen families going into financial turmoil. Being frustrated and dejected I've seen families leave the United States of America. With these rule changes it won't be the case anymore.

The proposed rule changes will only help America help attract new businesses and new investment to the U.S. and ensure that the U.S. has the most skilled workforce in the world. This will in turn help build a strong and thriving economy.

And lastly yes, with these rule changes and mindset I can say, America is the land of opportunities. 

God Bless America.



",0,1,2014-05-12T00:00:00-04:00
Do's,0,1,2014-05-14T00:00:00-04:00
